Symbol,Issue_Name,Primary_Listing_Mkt
JEXYY,Jiangsu Expressway Co Lim Sponsored American Depositary Receipt representing H shares,U
JFAIF,JPMorgan American Investment Trust PLC Ordinary Shares (UK),U
JFBC,Jeffersonville Bancorp Common Stock,U
JFBHF,Jungfraubahn Holding Ag Interlaken Namen-Akt. Shares (Switzerland),U
JFECF,JFE Container Co Ltd. Ordinary Shares (Japan),U
JFEEF,JFE Holdings Inc Ordinary Shares,U
JFEYF,JFE SYS INC SHS (Japan),U
JFHHF,Jupiter Fund Management Ltd. Ordinary Shares (United Kingdom),U
JFIL,Jubilant Flame International LTD. Common Stock,U
JFIN,Jiayin Group Inc. American Depositary Shares,NASDAQ
JFOOF,Japan Foods Holding Limited Ordinary Shares (Singapore),U
JFR,Nuveen Floating Rate Income Fund,NYSE
JFROF,J. Front Retailing Co. Ltd. Ordinary Shares (Japan),U
JFTSF,JFT Strategies Fund Unit Class A (Canada),U
JFU,9F Inc. American Depositary Shares,NASDAQ
JFWV,Jefferson Security Bank (W VA) Common Stock,U
JG,Aurora Mobile Limited American Depositary Shares,NASDAQ
JGCCF,J G C Corp (F) Ordinary Shares,U
JGCCY,JGC Holdings Corporation American Depositary Receipts - Unsponsored,U
JGFCF,Jaguar Financial Corporation Ordinary Shares,U
JGH,NUVEEN GLOBAL HIGH INCOME FUND,NYSE
JGHAF,Jungheinrich AG Pref Shs Vtg Rts (Germany),U
JGHG,Jinzisheng Holding Group Common Stock,U
JGHHY,Jungheinrich AG American Depositary Receipts - Unsponsored (Germany),U
JGLCF,JS GLOBAL LIFESTYLE CO LTD Common Stock  (Cayman Islands),U
JGLD,Amplify Pure Junior Gold Miners ETF,ARCA
JGLDF,JAPAN GOLD CORP Common Shares,U
JGSHF,J G Summit Hldgs Cl B Shs Ordinary Shares,U
JGSMY,JG Summit Holdings Inc Unsponsored ADR (Phillippines),U
JHAA,Nuveen Corporate Income 2023 Target Term Fund,NYSE
JHB,Nuveen Corporate Income November 2021 Target Term Fund,NYSE
JHCB,John Hancock Corporate Bond ETF,ARCA
JHCS,John Hancock Multifactor Media and Communications ETF,ARCA
JHEM,John Hancock Multifactor Emerging Markets ETF,ARCA
JHG,Janus Henderson Group plc Ordinary Shares,NYSE
JHI,John Hancock Investors Trust Capital Stock,NYSE
JHIUF,James Hardie Industries PLC Chess Depository Interests 1:1 (Ireland),U
JHMA,John Hancock Multifactor Materials ETF,ARCA
JHMC,John Hancock Multifactor Consumer Discretionary ETF,ARCA
JHMD,John Hancock Multifactor Developed International ETF,ARCA
JHME,John Hancock Multifactor Energy ETF,ARCA
JHMF,John Hancock Multifactor Financials ETF,ARCA
JHMH,John Hancock Multifactor Healthcare ETF,ARCA
JHMI,John Hancock Multifactor Industrials ETF,ARCA
JHML,John Hancock Multifactor Large Cap ETF,ARCA
JHMM,John Hancock Multifactor Mid Cap ETF,ARCA
JHMS,John Hancock Multifactor Consumer Staples ETF,ARCA
JHMT,John Hancock Multifactor Technology ETF,ARCA
JHMU,John Hancock Multifactor Utilities ETF,ARCA
JHRTF,JOHORE TIN BHD Ordinary Shares,U
JHS,John Hancock Income Securities Trust Capital Stock,NYSE
JHSC,John Hancock Multifactor Small Cap ETF,ARCA
JHX,JAMES HARDIE INDUSTRIES plc.,NYSE
JIAXF,Jiangxi Copper Co Ltd H Shs Ordinary Shares,U
JIG,JPMorgan International Growth ETF,ARCA
JIGB,JPMorgan Corporate Bond Research Enhanced ETF,ARCA
JILL,"J.Jill, Inc. Common Stock",NYSE
JINFF,China Gold International Resources Corp. Ltd. Ordinary Shares (Canada),U
JIREF,JP Morgan Ireland ICAV Ultra Short Income UCITS ETF USD (Ireland),U
JIUMF,JIUMAOJIU INTL HLDGS LTD Ordinary Shares,U
JIXAY,Jiangxi Copper Co Ltd Sponsored ADR (China),U
JJA,iPath Series B Bloomberg Agriculture Subindex Total ReturnSM ETN,ARCA
JJATF,Barclays Bk PLC iPath Bloomberg Agriculture Subindex Total Return ETN due 10/22/2037 (United Kingdom),U
JJC,iPath Series B Bloomberg Copper Subindex Total ReturnSM ETN,ARCA
JJCTF,Barclays Bk PLC iPath Bloomberg Copper Subindex Total Return ETN due 10/02/2037 (United Kingdom),U
JJE,iPath Series B Bloomberg Energy Subindex Total ReturnSM ETN,ARCA
JJETF,Barclays Bk PLC iPath Bloomberg Energy Subindex Total Return ETN due 10/22/2037 (United Kingdom),U
JJG,iPath Series B Bloomberg Grains Subindex Total ReturnSM ETN,ARCA
JJGTF,Barclays Bk PLC iPath Bloomberg Grains Subindex Total Return ETN due 10/22/2037 (United Kingdom),U
JJM,iPath Series B Bloomberg Industrial Metals Subindex Total ReturnSM ETN,ARCA
JJMTF,Barclays Bk PLC iPath Bloomberg Industrial Metals Subindex Total Return ETN due 10/22/2037 (United Kingdom),U
JJN,iPath Series B Bloomberg Nickel Subindex Total ReturnSM ETN,ARCA
JJNTF,Barclays Bk PLC iPath Bloomberg Nickel Subindex Total Return ETN due 10/22/2037 (United Kingdom),U
JJOFF,"Barclays Bk PLC iPath Dow Jones-UBS Coffee Subindex Total Return ETN due June 24, 2038 (United Kingdom)",U
JJP,iPath Series B Bloomberg Precious Metals Subindex Total ReturnSM ETN,ARCA
JJPFF,"Barclays Bk PLC iPath Dow Jones-UBS Precious Metals Subindex Total Return ETN due June 24, 2038",U
JJS,iPath Series B Bloomberg Softs Subindex Total ReturnSM ETN,ARCA
JJSF,J & J Snack Foods Corp. Common Stock,NASDAQ
JJSSF,"BARCLAYS BK PLC iPath Dow Jones-UBS Softs Subindex Total Return ETN due June 24, 2038",U
JJT,iPath Series B Bloomberg Tin Subindex Total ReturnSM ETN,ARCA
JJTFF,"Barclays Bk PLC iPath Dow Jones-UBS Tin Subindex Total Return ETN due June 24, 2038",U
JJU,iPath Series B Bloomberg Aluminum Subindex Total ReturnSM ETN,ARCA
JJUFF,"Barclays Bk PLC iPath Dow Jones-UBS Aluminum Subindex Total Return ETN due June 24, 2038 (United Kingdom)",U
JKELF,John Keells Holdings Ltd Reg S GDR,U
JKHCF,JUST KITCHEN HLDGS CORP Common Shares,U
JKHY,"Jack Henry & Associates, Inc. Common Stock",NASDAQ
JKLPF,LawFinance Ltd. Ordinary Shares,U
JKPTF,Gamesys Group PLC Ordinary Shares,U
JKRO,Jakroo Inc Common Stock,U
JKS,JINKOSOLAR HOLDINGS CO,NYSE
JKSM,Jacksam Corporation Common Stock,U
JKSSY,Jinke Smart Services Group Company Limited American Depositary Receipts - Unsponsored (China),U
JLFNF,Japan Lifeline Co Ltd Ordinary Shares (Japan),U
JLL,"Jones Lang LaSalle, Inc.",NYSE
JLMC,JLM Couture Inc. Common Stock,U
JLMKF,Jolimark Holdings Limited Ordinary Shares (Cayman Islands),U
JLRRF,South Atlantic Gold Inc. Common Stock,U
JLS,Nuveen Mortgage and Income Fund,NYSE
JMBRF,James Bay Resource Ltd. Ordinary Shares (Canada),U
JMBS,Janus Henderson Mortgage-Backed Securities ETF,ARCA
JMCCF,Jamco Corp Ordinary Shares (Japan),U
JMDMF,JAPAN MEDICAL DYNAMIC MARKETING INC TOKYO Ordinary Shares,U
JMEXF,JMax International Limted Common Shares (Cayman Islands),U
JMHLY,Jardine Matheson Holdings Ltd Unsponsored ADR,U
JMIA,Jumia Technologies AG,NYSE
JMIH,"Jupiter Marine International Holdings, Inc. Common Stock",U
JMIN,JPMorgan U.S. Minimum Volatility ETF,ARCA
JMKJ,Nine Alliance Science & Technology Group Common Stock,U
JMM,"NUVEEN MULTI-MARKET INCOME FUND, INC",NYSE
JMOM,JPMorgan U.S. Momentum Factor ETF,ARCA
JMON,James Monroe Capital Corporation New Common Stock,U
JMP,JMP Group LLC,NYSE
JMPHF,LEVELJUMP HEALTHCARE CORP Common Shares,U
JMPLF,Johnson Matthey Public Ltd Co Ordinary Shares,U
JMPLY,Johnson Matthey Public Ltd Co American Depositary Receipts - Sponsored,U
JMPNL,JMP Group LLC 7.25% Senior Notes due 2027,NASDAQ
JMPNZ,JMP Group LLC 6.875% Senior Notes due 2029,NASDAQ
JMSB,"John Marshall Bancorp, Inc. Common Stock",U
JMST,JPMorgan Ultra-Short Municipal Income ETF,BATS
JMTM,"James Maritime Holdings, Inc Common Stock",U
JMUB,JPMorgan Municipal ETF,BATS
JMVYU,James VY Ethanol LLC Cap Unit Cl A,U
JMXXF,Jupiter Mines Ltd Ordinary Shares (Australia),U
JNBBY,JNBY Design Ltd American Depository Receipt Unsponsored (Cayman Islands),U
JNBYF,JNBY Design Ltd HKD Shares (Cayman Islands),U
JNCCF,JNC Res Inc Common Shares (Canada),U
JNCE,"Jounce Therapeutics, Inc. Common Stock",NASDAQ
JNDAF,Jindalee Resources Ltd Ordinary Shares (Australia),U
JNDOF,Jins Hldgs Inc Ordinary Shares,U
JNEXF,Cuda Oil & Gas Inc Common Shares,U
JNHMF,JACK NATHAN MED CORP Common Shares (Canada),U
JNJ,Johnson & Johnson,NYSE
JNK,SPDR Bloomberg Barclays High Yield Bond ETF,ARCA
JNMB,"Jinhua Marine Biological (USA), Inc. Common Stock",U
JNNDF,JAPAN DISPLAY INC Ordinary Shares (Japan),U
JNNLY,JOINN LABORATORIES CHINA CO. LTD. American Depositary Receipts - Unsponsored,U
JNOMF,JUNO MINERALS LTD ORDINARY FULLY PAID (Australia),U
JNPKF,Jenoptik AG Ordinary Shares,U
JNPR,Juniper Networks Inc,NYSE
JNSH,JNS Holdings Corporation Common Stock,U
JNSTF,Jinhui Shipping & Trans Ltd Ordinary Shares (Bermuda),U
JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares,ARCA
JO,iPath Series B Bloomberg Coffee Subindex Total ReturnSM ETN,ARCA
JOAN,"JOANN, Inc. Common Stock",NASDAQ
JOB,GEE Group Inc.,AMEX
JOBS,"51job, Inc. American Depositary Shares",NASDAQ
JOE,St. Joe Company,NYSE
JOET,Virtus ETF Trust II Virtus Terranova U.S. Quality Momentum ETF,NASDAQ
JOEY,"Joey New York, Inc Common Stock",U
JOF,JAPAN SMALLER CAPITALIZATION FUND,NYSE
JOFF,JOFF Fintech Acquisition Corp. Class A Common Stock,NASDAQ
JOFFU,JOFF Fintech Acquisition Corp. Unit,NASDAQ
JOFFW,JOFF Fintech Acquisition Corp. Warrant,NASDAQ
JOLCF,JOINN LABORATORIES CHINA CO LTD SHS (China),U
JORFF,Jourdan Resources Inc. Common Stock (Canada),U
JOSMF,Josemaria Res Inc Ordinary Shares,U
JOUT,Johnson Outdoors Inc. Class A Common Stock,NASDAQ
JOYY,Infusive Compounding Global Equities ETF,ARCA
JP,"Jupai Holdings Limited American depositary shares, each representing six ordinary shares",NYSE
JPAVF,Japan Aviation Electr Ltd Ordinary Shares,U
JPC,Nuveen Preferred & Income Opportunities Fund,NYSE
JPDYY,"Japan Display, Inc. American Depositary Receipts - Unsponsored",U
JPEIF,JPMORGAN ETFS IRELAND ICAV JPMORGAN ETFS IRELAND ICAV BETABUILDERS US TREASURY BOND 0 3 MONTHS UCITS ETF USD ACC Exchange Traded Fund,U
JPELF,JPEL PRIVATE EQUITY LTD Ordinary Shares,U
JPEM,JPMorgan Diversified Return Emerging Markets Equity ETF,ARCA
JPEX,"JPX Global, Inc. Common",U
JPFAF,Pt Japfa Comfeed Indonesia Tbk Ordinary Shares (Indonesia),U
JPFEF,JPMorgan Fleming Continental European Investment Trust Plc Ordinary Shares (United Kingdom),U
JPGLF,JPMORGAN ETFS IRELAND ICAV GLOBAL EQUITY MULTI FACTOR UCITS ETF (Ireland),U
JPHLF,JAPAN POST HLDGS CO LTD Ordinary Shares (Japan),U
JPHY,JPMorgan Research Enhanced High Yield ETF,BATS
JPI,NUVEEN PREFERRED AND INCOME TERM FUND,NYSE
JPIB,JPMorgan International Bond Opportunities ETF,BATS
JPIN,JPMorgan Diversified Return International Equity ETF,ARCA
JPIVF,jpMorgan Indian Investment Trust Plc Ordinary shares (United Kingdom),U
JPIZF,"JPMorgan Income & Capital Trust PLC, London Zero Div Preference Shares (United Kingdom)",U
JPM,JPMorgan Chase & Co.,NYSE
JPM PRC,"JPMorgan Chase & Co. Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non",NYSE
JPM PRD,"JPMorgan Chase & Co. Depositary Shares, each representing a 1/400th  interest in a share of 5.75% No",NYSE
JPM PRJ,"JPMorgan Chase & Co. Depositary Shares, each representing a 1/400th interest in a share of JPMorgan",NYSE
JPM PRK,"JPMorgan Chase & Co. Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non",NYSE
JPM PRL,"JPMorgan Chase & Co. Depositary Shares, each representing a 1/400th interest in a share of 4.625% No",NYSE
JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF,ARCA
JPME,JPMorgan Diversified Return US Mid Cap Equity ETF,ARCA
JPN,Xtrackers Japan JPX-Nikkei 400 Equity ETF,ARCA
JPNCF,JAPAN CASH MACHINE CO LTD SHS (Japan),U
JPNPY,Japan Post Ins Co Ltd ADS Repstg Com Stk (Japan),U
JPNRF,Japan Airlines Co Ltd JAL Ordinary Shares (Japan),U
JPOTF,JACKPOT DIGITAL INC  Common Shares,U
JPPHY,Japan Post Holdings Co Ltd. American Depositary Receipts - Unsponsored (Japan),U
JPPIF,JAPAN POST INS CO LTD COM STK (Japan),U
JPPMF,"JAPAN MATERIAL CO LTD, MIE Ordinary Shares  Japan(JP )",U
JPPPF,JAPAN PULP & PAPER CO LTD Ordinary Shares,U
JPPTY,Japan Post Bank Co Ltd.  American Depositary Receipts - Unsponsored (Japan),U
JPRRF,Japan Prime Realty Investment Corp Ordinary Shares,U
JPS,Nuveen Preferred & Income Securities Fund,NYSE
JPSE,JPMorgan Diversified Return US Small Cap Equity ETF,ARCA
JPST,JPMorgan Ultra-Short Income ETF,BATS
JPSTF,JAPAN POST BK CO LTD Ordinary Shares (Japan),U
JPSWF,Japan Stl Wks Ltd Ordinary Shares,U
JPSWY,Japan Stl Wks Ltd American Depositary Receipts - Unsponsored,U
JPT,Nuveen Preferred and Income 2022 Term Fund,NYSE
JPTXF,Japan Pete Expl Co Ltd Tokyo Ordinary Shares (Japan),U
JPTXY,Japan Petroleum Exploration Co Ltd Tokyo Unsponsored ADR (Japan),U
JPUHF,JPmorgan Etfs Ireland Icav Usd Ultra Short Income Ucits Etf Usd Distributing (Ireland),U
JPUS,JPMorgan Diversified Return US Equity ETF,ARCA
JPXCF,Japan Excellent Inc Toyko SHS (Japan),U
JPXGY,"Japan Exchange Group, Inc. Unsponsored ADR (Japan)",U
JPXN,iShares JPX-Nikkei 400 ETF,ARCA
JQC,Nuveen Credit Strategies Income Fund,NYSE
JQTMF,JACQUET METAL SVC ACT (France),U
JQUA,JPMorgan U.S. Quality Factor ETF,ARCA
JRDN,Jardinier Corp. Common Stock,U
JRE,Janus Henderson U.S. Real Estate ETF,ARCA
JREIF,Japan Real Estate Investment Inc Tokyo Japan Real Estate Investment Inc Tokyo,U
JRFIF,JAPAN MET FD INV CORP SHS Ordinary Shares,U
JRHHY,Japara Healthcare Ltd. American Depositary Receipts - Unsponsored (Australia),U
JRHIF,DAIWA SECS LIVING INVT CORP Ordinary Shares,U
JRI,NUVEEN REAL ASSET INCOME AND GROWTH FUND,NYSE
JRIV,James River Holdings Corporation Common Stock,U
JRJC,China Finance Online Co. Limited American Depositary Shares,NASDAQ
JRJRQ,"JRjr33, Inc. Common Stock",U
JRNGF,JOURNEY ENERGY INC  Ordinary Shares (Canada),U
JRO,Nuveen Floating Rate Income Opportunty Fund,NYSE
JRONF,Jeronimo Martins 13.50 Cv Pfd Ordinary Shares,U
JRONY,Jeronimo Martins SGPS SA Unsponsored ADR (Portugal),U
JROOF,JERICHO ENERGY VENTURES INC Ordinary Shares,U
JRS,Nuveen Real Estate Income Fund,NYSE
JRSH,"Jerash Holdings (US), Inc. Common Stock",NASDAQ
JRSS,JRSIS Health Care Corp Common Stock,U
JRVMF,Jervois Mining Ltd Ordinary Shares (Austrailia),U
JRVR,"James River Group Holdings, Ltd. Common Shares",NASDAQ
JRVS,iMine Corporation Common Stock,U
JSAIY,J Sainsbury Plc Sponsored ADR NEW (UK),U
JSBL,JS Beauty Land Network Technology Inc Common Stock,U
JSCP,JPMorgan Short Duration Core Plus ETF,ARCA
JSCPF,JSR Corporation Ordinary Shares,U
JSCPY,JSR Corporation Unsponsored ADR (Japan),U
JSD,NUVEEN SHORT DURATION CREDIT OPPORTUNITIES FUND,NYSE
JSDA,Jones Soda Co. Common Stock,U
JSEJF,Jse Limited Johannesburg Ordinary Shares (South Africa),U
JSEOF,Jerusalem Economic Corporation Ordinary Shares (Israel),U
JSFCF,Sistema PJSFC Global Depositary Receipts - Sponsored,U
JSGCF,Lixil Group Corp. Ordinary Shares (Japan),U
JSGRY,LIXIL Corp American Depositary Receipts - Unsponsored,U
JSHG,"Joshua Gold Resources, Inc. Common Stock",U
JSLGY,JSL SA ADR (Sponsored) (Brazil),U
JSM,"Navient Corporation 6% Senior Notes due December 15, 2043",NASDAQ
JSMD,Janus Detroit Street Trust Janus Henderson Small/Mid Cap Growth Alpha ETF,NASDAQ
JSML,Janus Detroit Street Trust Janus Henderson Small Cap Growth Alpha ETF,NASDAQ
JSNSF,J Sainsbury Plc Ord Ordinary Shares,U
JSPCF,JSP Corp Ordinary Shares,U
JSTC,Adasina Social Justice All Cap Global ETF,ARCA
JSTS,Justiss Oil Inc Common Stock,U
JSVGF,JOHNSON SERVICE GROUP PLC Ordinary Shares,U
JSYSF,Justsystem Corp Tokushima City Ordinary Shares (Japan),U
JSZWF,"JASTRZEBSKA SPOLKA WEGLOWA S.A., JASTRZEBIE-ZDROJ Ordinary Shares",U
JT,"Jianpu Technology Inc. American Depositary Shares, each representing twenty Class A Ordinary Shares",NYSE
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,NYSE
JTBK,Jetblack Corp. Common Stock,U
JTCMF,Jetcom Inc (F) Ordinary Shares,U
JTD,NUVEEN TAX-ADVANTAGE DIVIDEND GROWTH FUND,NYSE
JTEKF,JTEKT Corporation Ordinary Shares (Japan),U
JTEKY,JTEKT Corporation Unsponsored ADR (Japan),U
JTNB,"JTNB Bancorp, Inc. Common Stock",U
JTTRY,Japan Arpt Term Co Ltd American Depositary Receipts - Unsponsored (Japan),U
JUBPF,Jubilee Metals Group PLC Ordinary Shares,U
JUGGU,Jaws Juggernaut Acquisition Corporation Unit,NASDAQ
JUGRF,Juggernaut Expl Ltd Ordinary Shares,U
JUHDY,JANUS HENDERSON GROUP PLC Chess Depositary Interests (Jersey),U
JUHL,"Juhl Energy, Inc. Common Stock",U
JUKCF,JUKI CORP Ordinary Shares,U
JUKIY,Juki Corp Unsponsored ADR (Japan),U
JULZ,TrueShares Structured Outcome (July) ETF,BATS
JUMSF,Jumbo SA Reg Shares (Greece),U
JUMSY,Jumbo SA Unsponsored ADR (Greece),U
JUMT,"Juma Technology, Corp. Common Stock",U
JUNZ,TrueShares Structured Outcome (June) ETF,BATS
JUPGF,Jupiter Gold Corporation Ordinary Shares (Cayman Islands),U
JUPW,"Jupiter Wellness, Inc. Common Stock",NASDAQ
JUPWW,"Jupiter Wellness, Inc. Warrant",NASDAQ
JUSHF,JUSHI HLDGS INC CL B Sub Vtg (Canada),U
JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,ARCA
JUTHF,Jutha Maritime Public Co Ltd Units Non-Voting Depositary Receipt,U
JUTOF,Jutal Offshore Oil Service Limited Ordinary Shares (Cayman Islands),U
JUTOY,Jutal Offshore Oil Service Limited Unsponsored ADR (Cayman Islands),U
JUVAF,Juva Life Inc. Common Stock (Canada),U
JUVF,Juniata Valley Financial Corp. (PA) Common Stock,U
JVA,"Coffee Holding Co., Inc. Common Stock",NASDAQ
JVAL,JPMorgan U.S. Value Factor ETF,ARCA
JVCZY,JVCKENWOOD Corp American Depositary Receipts - Unsponsored,U
JVTSF,"JUVENTUS FOOTBALL CLUB SPA,  TORINO Common Shares",U
JW A,"John Wiley & Sons, Inc. Class A",NYSE
JW B,"John Wiley & Sons, Inc. Class B",NYSE
JWCAF,James E Wagner Cultivation Corp Ordinary Shares (Canada),U
JWCTF,JW CAYMAN THERAPEUTICS CO LTD USD ORD SHS (Cayman Islands),U
JWEL,Jowell Global Ltd. Ordinary Shares,NASDAQ
JWHI,Jin Wan Hong International Holdings Limited Common Stock,U
JWLLF,Jamieson Wellness Inc COM (Canada),U
JWN,"Nordstrom, Inc.",NYSE
JWSM,Jaws Mustang Acquisition Corp.,NYSE
JWSM U,"Jaws Mustang Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-fourth",NYSE
JWSM WS,"Jaws Mustang Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one Class A o",NYSE
JXFGF,JINXIN FERTILITY GROUP LTD Ordinary Shares Cayman Islands(KY ),U
JXHGF,"JX Holdings Inc., Tokyo Ordinary Shares (Japan)",U
JXHLY,Eneos Holdings Inc American Depositary Receipts - Unsponsored,U
JXI,iShares Global Utilities ETF,ARCA
JXMNF,Jaxon Mng Inc Ordinary Shares,U
JYAC,Jiya Acquisition Corp. Class A Common Stock,NASDAQ
JYBSF,JAYA BERSAMA INDO TBK PT Ordinary Shares,U
JYNFF,Barclays Bk PLC iPath Lnk JPY/USD Exchange Rate ETN due 05/14/2037 (United Kingdom),U
JYNT,The Joint Corp. Common Stock,NASDAQ
JYOGF,JERSEY OIL & GAS PLC ORD SHS (United Kingdom),U
JYSKF,Jyske Bank A/S Silkeborg Ordinary Shares (Denmark),U
JYSKY,Jyske Bank A/S Silkeborg Unsponsored ADR (Denmark),U
JYUAF,JIAYUAN INTERNATIONAL GROUP Ltd. Shs (Cayman Islands),U
JZCLF,"JZ Capital Partners Limited, Guernsey Ordinary shares (Guernsey)",U
JZXN,"Jiuzi Holdings, Inc. Ordinary Shares",NASDAQ
JZZI,"JZZ Technologies, Inc. Common Stock",U
K,Kellogg Company,NYSE
KACPF,Koa Corp Ordinary Shares (Japan),U
KAEPF,Kansai Electric Power Inc (F) Ordinary Shares,U
KAEPY,Kansai Electric Power Inc Unsponsored ADR (Japan),U
KAHC,KKR Acquisition Holdings I Corp.,NYSE
KAHC U,"KKR Acquisition Holdings I Corp. Units, each consisting of one share of Class A Common Stock and one",NYSE
KAHC WS,"KKR Acquisition Holdings I Corp. Redeemable Warrants, each whole Warrant exercisable for one share o",NYSE
KAHL,Kahala Corporation (Florida) New Common Stock,U
KAI,Kadant Inc.,NYSE
KAII,Kismet Acquisition Two Corp. Class A Ordinary Shares,NASDAQ
KAIIU,Kismet Acquisition Two Corp. Unit,NASDAQ
KAIIW,Kismet Acquisition Two Corp. Warrant,NASDAQ
KAIKY,Kawasaki Kisen Kaisha Ltd American Depositary Receipts - Unsponsored,U
KAIR,Kairos Acquisition Corp. Class A Ordinary Shares,NASDAQ
KAIRU,Kairos Acquisition Corp. Unit,NASDAQ
KAIRW,Kairos Acquisition Corp. Warrant,NASDAQ
KAJMF,Kajima Corp Ord Ordinary Shares,U
KAJMY,Kajima Corp Ord American Depositary Shares,U
KAKKF,Kawasaki Kisen Kaisha Ltd Ordinary Shares,U
KAKZF,JSC Kaspi.kz Global Sponsored GDR Reg S (Kazakstan),U
KALA,"Kala Pharmaceuticals, Inc. Common Stock",NASDAQ
KALG,"KAL Energy, Inc. Common Stock",U
KALL,KraneShares MSCI All China Index ETF,ARCA
KALO,Kallo Inc. Common Stock,U
KALTF,CLARITAS PHARMACEUTICALS INC Common Shares,U
KALU,Kaiser Aluminum Corporation Common Stock,NASDAQ
KALV,"KalVista Pharmaceuticals, Inc. Common Stock",NASDAQ
KALY,"Kali, Inc. Common Stock",U
KAMN,Kaman Corp,NYSE
KAMRF,KALAMAZOO RESOURCES LTD Ordinary Shares Australia(AU ),U
KANAF,G MNG VENTURES CORP Common Stock,U
KANKF,Kaneka Corp Ordinary Shares,U
KANP,Kaanapali Land LLC Common Stock,U
KANVF,Kaonavi Inc Common Stock (Japan),U
KAOCF,Kao Corp -New Ordinary Shares,U
KAOOY,Kao Corporation ADR Repstg 1/5 Com - Unsponsored (Japan),U
KAPR,Innovator Russell 2000 Power Buffer ETF -April,BATS
KAR,"KAR AUCTION SERVICES, INC.",NYSE
KARBF,Karo Pharma Aktiebolag Ordinary Shares,U
KARE,Koala Corporation Common Stock,U
KARO,Karooooo Ltd. Ordinary Shares,NASDAQ
KARS,KraneShares Electric Vehicles and Future Mobility Index ETF,ARCA
KAST,"Kasten, Inc. Common Stock",U
KATA,Katana Broadband Corporation Common Stock,U
KATSF,Katsuragawa Electric Co Ltd Ordinary Shares (Japan),U
KATX,KAT Exploration Inc.  Common Stock,U
KAURF,KAISER REEF LTD ORDINARY FULLY PAID (Australia),U
KAVL,"Kaival Brands Innovations Group, Inc. Common Stock",U
KAYS,"Kaya Holdings, Inc. Common Stock",U
KB,KB Financial Group Inc,NYSE
KBA,KraneShares Bosera MSCI China A ETF,ARCA
KBAGF,Koninklijke BAM Groep NV Ordinary Shares (Netherlands),U
KBAL,"Kimball International, Inc. Class B Common Stock",NASDAQ
KBBPF,KOPPARBERG BRYGGERI AB Ordinary Shares  Sweden(SE ),U
KBBTF,Kubota Pharmaceutical Hldgs Co Ltd Ordinary Shares (Japan),U
KBCSF,KBC Group NV Ordinary Shares (Belgium),U
KBCSY,KBC Group NV Unsponsored ADR (Belgium),U
KBDCF,Kingboard Chemical Holdings Ltd Ordinary Shares (Cayman Islands),U
KBDCY,Kingboard Hldgs Ltd Cayman Is American Depositary Receipts - Unsponsored,U
KBDHF,Kabel Deutschland Holding AG Ordinary Shares (Germany),U
KBE,SPDR S&P Bank ETF,ARCA
KBEVF,Koios Beverage Corp Ordinary Shares,U
KBGCF,Kings Bay Res Corp Ordinary Shares,U
KBH,KB Home,NYSE
KBKCP,KBK Capital Corporation 9.50% Trust Preferred Securities due 11/30/2028,U
KBLB,"Kraig Biocraft Laboratories, Inc. Common Stock",U
KBND,KraneShares Bloomberg Barclays China Bond Inclusion Index ETF,ARCA
KBNT,"Kubient, Inc. Common Stock",NASDAQ
KBNTW,"Kubient, Inc. Warrant",NASDAQ
KBPH,"Kyto Technology and Life Science, Inc. Common Stock",U
KBR,"KBR, Inc.",NYSE
KBRLF,"K-Bro Linen, Inc. Ordinary Shares (Canada)",U
KBRS,KBS Real Estate Investment Trust II Common Stock,U
KBSF,KBS Fashion Group Limited Common Stock,NASDAQ
KBSG,KBS GROWTH & INCOME REIT INC Common Stock,U
KBSR,KBS Real Estate Invt Tr III Inc Common Shares,U
KBSTF,Kobe Steel Ltd Ordinary Shares,U
KBUY,KraneShares CICC China Consumer Leaders Index ETF,ARCA
KBWB,Invesco Exchange-Traded Fund Trust II Invesco KBW Bank ETF,NASDAQ
KBWD,Invesco Exchange-Traded Fund Trust II Invesco KBW High Dividend Yield Financial ETF,NASDAQ
KBWP,Invesco Exchange-Traded Fd Tr II Invesco KBW Property & Casualty Insurance ETF,NASDAQ
KBWR,Invesco Exchange-Traded Fund Trust II Invesco KBW Regional Banking ETF,NASDAQ
KBWY,Invesco Exchange-Traded Fund Trust II Invesco KBW Premium Yield Equity REIT ETF,NASDAQ
KBYPF,Kobayashi Pharmaceutical Co Ltd Osaka Ordinary Shares (Japan),U
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,NASDAQ
KCAC,Kensington Capital Acquisition Corp. II,NYSE
KCAC U,"Kensington Capital Acquisition Corp. II Units, each consisting of one share of Class A common stock,",NYSE
KCAC WS,"Kensington Capital Acquisition Corp. II Redeemable warrants, each whole warrant exercisable for one",NYSE
KCCB,KraneShares CCBS China Corporate High Yield Bond USD Index ETF,ARCA
KCCFF,Kutcho Copper Corp Ordinary Shares,U
